station_name,latitude,longitude,total_bikes,station,distance,review_count,rating,price
Papineau / Émile-Journault,45.55988367688166,-73.63356828689575,32,46,966.5,2.0,7.1850000000000005,2.0
des Bassins / du Séminaire,45.49047561880464,-73.56022328138351,32,47,575.56,57.44,8.2912,2.52
Place du Commerce,45.46714,-73.54259,32,48,275.86206896551727,9.655172413793103,6.353448275862069,2.0689655172413794
St-Urbain / René-Lévesque,45.50783754150584,-73.56313616037369,32,49,443.6216216216216,252.64864864864865,7.9951351351351345,2.4864864864864864
Ste-Catherine / Union,45.50373771539475,-73.56948494911194,32,50,352.06666666666666,272.24444444444447,7.901111111111112,2.311111111111111
Mansfield / Ste-Catherine,45.50140664031126,-73.57165485620499,31,51,322.1578947368421,297.10526315789474,7.987894736842105,2.1578947368421053
Parc du Pélican (1ère avenue / Masson),45.5451997,-73.57645065,31,52,487.35483870967744,22.70967741935484,8.259677419354839,1.903225806451613
Ste-Catherine / St-Laurent,45.50991130818593,-73.56380604207516,31,53,423.0967741935484,257.7741935483871,8.18741935483871,2.2903225806451615
Clark / Rachel,45.51736881196649,-73.58209669589996,31,54,368.23333333333335,478.93333333333334,8.164,2.0
Casino de Montréal,45.5063732,-73.52457672,31,55,533.0,7.708333333333333,6.532916666666666,2.0833333333333335
Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.495537539518104,-73.6222583055769,31,56,265.6111111111111,40.05555555555556,8.030833333333334,1.8611111111111112
Métro Papineau (Dorion / De Maisonneuve),45.5238445756922,-73.55236601831166,31,57,552.8965517241379,110.75862068965517,8.334482758620691,2.0
St-Dominique / Jean-Talon,45.53520398241678,-73.6175217570053,31,58,360.725,87.075,8.34275,2.1
Métro Pie-IX (Pierre-de-Coubertin / Desjardins),45.554373399819674,-73.55137467384337,31,59,767.2222222222222,50.888888888888886,8.125925925925927,1.9259259259259258
Sanguinet / de Maisonneuve,45.51340553558378,-73.56259435415267,31,60,425.3333333333333,189.85185185185185,8.084814814814816,2.3333333333333335
Jean Langlois / Fullum,45.526499983000186,-73.54575277422555,31,61,486.70588235294116,14.058823529411764,8.545882352941177,1.8235294117647058
City Councillors / du President-Kennedy,45.50625103256782,-73.57139065861702,31,62,489.7027027027027,285.2972972972973,8.055405405405406,2.3783783783783785
